ARBORESCENCE REELLE DES EQUIPEMENTS - FABLAB ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
"Base sur le registre v2 (67 articles, feuille Arborescence_Equipements_Fablab_v2) + 2 equipements reels ajoutes (FL-068, FL-069, en jaune) identifies dans le dossier de criticite mais absents de l'inventaire initial. Colonne 'Traitement GMAO' : 1 = machine complexe (analyse AMDEC, onglets 03-07), 2 = outillage/instrument/consommable (fiche simplifiee, onglet 08).",,,,,,,
,,,,,,,
Code arborescence,Designation,Niveau,Description / Caracteristiques,Quantite,Etat,Traitement GMAO,Code EQ (AMDEC)
FABLAB,FABLAB (Site),Site,,,,,
FABLAB.ESP,ESPACES (equipements fixes par zone),Type,,,,,
FABLAB.ESP.ELEC,Espace Electronique,Zone / Stock,,,,,
FABLAB.ESP.ELEC.MES,Instruments de mesure,Sous-categorie,,,,,
FL-038,Oscilloscope numerique (Scope),Equipement,,2,Operationnel,2,
FL-039,Oscilloscope analogique (Scope),Equipement,,1,Operationnel,2,
FL-040,Oscilloscope analogique (Scope),Equipement,,1,Operationnel,2,
FL-041,Balance avec affichage,Equipement,,1,Operationnel,2,
FL-042,Balance,Equipement,,2,Operationnel,2,
FL-043,Oscilloscope numerique,Equipement,DOX 2070B,1,Operationnel,2,
FABLAB.ESP.ELEC.INST,Instruments electroniques,Sous-categorie,,,,,
FL-044,Alimentation DC reglable,Equipement,Adjustable DC Power Supply,1,Operationnel,2,
FL-045,Generateur de signaux basse frequence,Equipement,,1,Operationnel,2,
FABLAB.ESP.ELEC.EQP,Equipement electronique,Sous-categorie,,,,,
FL-046,Station de reprise a air chaud,Equipement,Rework soldering,1,Operationnel,2,
FABLAB.ESP.ELEC.SOU,Materiel de soudure,Sous-categorie,,,,,
FL-048,Station de reprise,Equipement,,1,Operationnel,2,
FL-049,Station de soudage,Equipement,ZD-929B,1,Operationnel,2,
FABLAB.ESP.ELEC.ALIM,Alimentation & distribution,Sous-categorie,,,,,
FL-002,Alimentation de laboratoire stabilisee,Equipement,,10,Operationnel,2,
FABLAB.ESP.PROTO,Espace Prototypage,Zone / Stock,,,,,
FABLAB.ESP.PROTO.LAS,Decoupe laser,Sous-categorie,,,,,
FL-007,Machine de decoupe laser,Equipement,Fabricant PIPROD,1,Hors service,1,EQ4a
FL-008,Machine WC 3000 (decoupe laser),Equipement,,1,Non renseigne,1,EQ4b
FABLAB.ESP.PROTO.CNC,Decoupe / Usinage CNC,Sous-categorie,,,,,
FL-009,Fraiseuse CNC (TPROD 6060),Equipement,Fabricant PIPROD,1,Operationnel,1,EQ2
FL-010,Perceuse/Fraiseuse CNC (Technodrill 3),Equipement,,1,Operationnel,1,EQ1
FABLAB.ESP.PROTO.FAC,Faconnage,Sous-categorie,,,,,
FL-011,Plieuse de plexiglas,Equipement,,1,Operationnel,2,
FABLAB.ESP.PROTO.ATE,Equipement atelier,Sous-categorie,,,,,
FL-012,Compresseur,Equipement,8 bars,1,Operationnel,2,
FL-013,Aspirateur de poussiere,Equipement,,1,Non renseigne,2,
FL-014,Pulverisateur electrique,Equipement,,1,Operationnel,2,
FL-015,Pompe a eau,Equipement,KNF,1,Operationnel,2,
FL-016,Machine a air chaud,Equipement,,1,Operationnel,2,
FABLAB.ESP.PROTO.OUT,Outillage atelier (fixe),Sous-categorie,,,,,
FL-017,Perceuse a colonne,Equipement,,1,Operationnel,2,
FABLAB.ESP.IMP3D,Espace Impression 3D,Zone / Stock,,,,,
FABLAB.ESP.IMP3D.PRN,Imprimantes 3D,Sous-categorie,,,,,
